Barangay,Year,Month,Cases
San Vicente,2017,August,1
Santiago,2017,August,0
Santisima Trinidad,2017,August,2
Santo Cristo,2017,August,1
Santo Niño,2017,August,0
Santo Rosario,2017,August,3
Santor,2017,August,2
Sumapang Bata,2017,August,0
Sumapang Matanda,2017,August,3
Taal,2017,August,1
Tikay,2017,August,1
Anilao,2017,September,1
Atlag,2017,September,0
Babatnin,2017,September,0
Bagna,2017,September,1
Bagong Bayan,2017,September,0
Balayong,2017,September,0
Balite,2017,September,0
Bangkal,2017,September,1
Barihan,2017,September,1
Bulihan,2017,September,9
Bungahan,2017,September,2
Caingin,2017,September,1
Calero,2017,September,0
Caliligawan,2017,September,0
Canalate,2017,September,2
Caniogan,2017,September,2
Catmon,2017,September,1
Cofradia,2017,September,0
Dakila,2017,September,0
Guinhawa,2017,September,0
Liang,2017,September,0
Ligas,2017,September,2
Longos,2017,September,5
Look 1St,2017,September,0
Look 2Nd,2017,September,0
Lugam,2017,September,3
Mabolo,2017,September,0
Mambog,2017,September,1
Masile,2017,September,0
Matimbo,2017,September,1
Mojon,2017,September,12
Namayan,2017,September,0
Niugan,2017,September,0
Pamarawan,2017,September,0
Panasahan,2017,September,0
Pinagbakahan,2017,September,0
San Agustin,2017,September,3
San Gabriel,2017,September,3
San Juan,2017,September,1
San Pablo,2017,September,0
San Vicente,2017,September,0
Santiago,2017,September,0
Santisima Trinidad,2017,September,3
Santo Cristo,2017,September,2
Santo Niño,2017,September,0
Santo Rosario,2017,September,0
Santor,2017,September,5
Sumapang Bata,2017,September,3
Sumapang Matanda,2017,September,2
Taal,2017,September,0
Tikay,2017,September,2
Anilao,2017,October,0
Atlag,2017,October,1
Babatnin,2017,October,0
Bagna,2017,October,1
Bagong Bayan,2017,October,1
Balayong,2017,October,0
Balite,2017,October,2
Bangkal,2017,October,0
Barihan,2017,October,0
